X,Y,Z,start,end
139629.39489832884,98844.0880094627,19590.04421651255,2020-12-30T20:08:30.000000000,2020-12-30T21:08:30.000000000
140144.58607272184,100863.78086694347,18161.138713715114,2020-12-30T21:08:30.000000000,2020-12-30T22:08:30.000000000
140524.77688320322,102783.24590441858,16714.2652646104,2020-12-30T22:08:30.000000000,2020-12-30T23:08:30.000000000
140772.4798188932,104603.00535294553,15251.217391192435,2020-12-30T23:08:30.000000000,2020-12-31T00:08:30.000000000
140885.17796747613,106205.42338092384,13877.71679159506,2020-12-31T00:08:30.000000000,2020-12-31T01:06:18.246837500
77992.44296863044,102747.04799241068,-32042.32481624712,2021-01-01T08:21:08.156577500,2021-01-01T09:21:08.156577500
73728.67415671395,100200.48425759112,-32989.37861243034,2021-01-01T09:21:08.156577500,2021-01-01T10:21:08.156577500
69282.52995411717,97417.33412166007,-33856.265784366886,2021-01-01T10:21:08.156577500,2021-01-01T11:21:08.156577500
64645.6404467636,94378.1822891993,-34631.665718716264,2021-01-01T11:21:08.156577500,2021-01-01T12:21:08.156577500
59808.63503169707,91060.07903505917,-35301.91148561842,2021-01-01T12:21:08.156577500,2021-01-01T13:21:08.156577500
57257.742929149295,89256.13292141847,-35604.84092618204,2021-01-01T13:21:08.156577500,2021-01-01T13:22:35.000000000
147195.29251387488,99926.07894925524,11313.686175420968,2021-01-03T13:41:18.043595500,2021-01-03T14:41:18.043595500
147101.69928091165,101409.61684875416,9805.129743311954,2021-01-03T14:41:18.043595500,2021-01-03T15:41:18.043595500
146877.94546142596,102802.1506187554,8287.69275967146,2021-01-03T15:41:18.043595500,2021-01-03T16:41:18.043595500
146525.2767714093,104103.44174986782,6762.812571963087,2021-01-03T16:41:18.043595500,2021-01-03T17:41:18.043595500
146044.730328934,105313.13521720593,5231.89226114222,2021-01-03T17:41:18.043595500,2021-01-03T18:41:18.043595500
145134.87276835207,105717.69929817018,4165.717598634429,2021-01-03T18:41:18.043595500,2021-01-03T19:41:18.043595500
144703.2448695393,107455.69799009268,2157.4447245085385,2021-01-03T19:41:18.043595500,2021-01-03T20:41:18.043595500
143843.468099857,108387.23848014232,616.6438247765184,2021-01-03T20:41:18.043595500,2021-01-03T21:41:18.043595500
142858.14921667913,109224.51335669898,-924.7300483665321,2021-01-03T21:41:18.043595500,2021-01-03T22:41:18.043595500
141747.4292168231,109966.52243325148,-2465.30535213347,2021-01-03T22:41:18.043595500,2021-01-03T23:41:18.043595500
140511.27295246147,110612.11624212403,-4003.6979304536244,2021-01-03T23:41:18.043595500,2021-01-04T00:41:18.043595500
139149.47950408916,111159.98813304525,-5538.497703255543,2021-01-04T00:41:18.043595500,2021-01-04T01:41:18.043595500
137661.6755554466,111608.66998568417,-7068.2562486066845,2021-01-04T01:41:18.043595500,2021-01-04T02:41:18.043595500
136047.30952207523,111956.51337115423,-8591.48341304701,2021-01-04T02:41:18.043595500,2021-01-04T03:41:18.043595500
134305.65203756842,112201.67570070563,-10106.64005935864,2021-01-04T03:41:18.043595500,2021-01-04T04:41:18.043595500
132435.78541315987,112342.11528094854,-11612.10971661324,2021-01-04T04:41:18.043595500,2021-01-04T05:41:18.043595500
130436.58056536446,112375.55542433371,-13106.208413208244,2021-01-04T05:41:18.043595500,2021-01-04T06:41:18.043595500
128306.73205321954,112299.47795596962,-14587.158343655794,2021-01-04T06:41:18.043595500,2021-01-04T07:41:18.043595500
126044.71362305897,112111.0964357522,-16053.06984447154,2021-01-04T07:41:18.043595500,2021-01-04T08:41:18.043595500
123648.77767508249,111807.32521268843,-17501.930411285528,2021-01-04T08:41:18.043595500,2021-01-04T09:41:18.043595500
121116.9388568948,111384.75011967991,-18931.579413731328,2021-01-04T09:41:18.043595500,2021-01-04T10:41:18.043595500
117727.19782497695,108989.41802734017,-19016.257418453224,2021-01-04T10:41:18.043595500,2021-01-04T11:41:18.043595500
115636.24986381034,110167.60357107644,-21723.740134921132,2021-01-04T11:41:18.043595500,2021-01-04T12:41:18.043595500
112682.06108580227,109364.16743047115,-23080.963277089348,2021-01-04T12:41:18.043595500,2021-01-04T13:41:18.043595500
